"decadeStr","gender","nbLaureatsStr"
"1900","male","106"
"1900","org","2"
"1900","female","6"
"1910","female","2"
"1910","org","4"
"1910","male","74"
"1920","male","104"
"1920","female","4"
"1930","male","104"
"1930","org","2"
"1930","female","6"
"1940","female","6"
"1940","org","6"
"1940","male","74"
"1950","male","142"
"1950","org","2"
"1960","male","144"
"1960","female","6"
"1960","org","8"
"1970","male","198"
"1970","org","2"
"1970","female","8"
"1980","male","180"
"1980","org","6"
"1980","female","8"
"1990","female","14"
"1990","male","188"
"1990","org","6"
"2000","male","216"
"2000","female","22"
"2000","org","8"
"2010","male","208"
"2010","female","26"
"2010","org","8"
"2020","female","24"
"2020","org","8"
"2020","male","92"